Sample ID,IC50 (uM),SMILES
NCGC00398004-01,39.8107,CSC1=CC=C(C=C1)C/2=C3\[C@@H]4C[C@@H](CN(C4)C(=O)NC5=CC=CC(=C5)F)CN3C(=O)/C=C2
NCGC00400827-01,39.8107,O[C@H]1[C@H](NCC2=CC=C(C=C2)C3=CC=CC=C3)[C@H]4CO[C@H](O4)[C@@H]1OC5=CC=CC=C5
NCGC00412216-01,39.8107,CN(C)CC1=CC=C(C=C1)C2=C[N]3C=NC=C3C(=C2)C4=C(C)ON=C4C
NCGC00413961-01,39.8107,CC(=O)N1CCN(CC1)CC2=CC=C(C=C2)C3=CN=C4[N]3C=CN=C4OCC5=CC=CC=C5
NCGC00422386-01,39.8107,CCC1=NOC(=C1)C2CCCN2C(=O)C3=CC=CS3
NCGC00423367-01,39.8107,CC(C)CN1C(=O)C2=CC=CC=C2C(C(=O)NCC3=CC=CO3)C14CCCC4
NCGC00423439-01,39.8107,COCCN1C(=O)C2=C(C=CC=C2)C(C(=O)NCC3=CC=CC=C3)C14CCCC4
NCGC00423548-01,39.8107,O=C(NCCC1=CC=CO1)C2C3=C(C=CC=C3)C(=O)N(CC4=CC=CC=C4)C25CCCC5
NCGC00423936-01,39.8107,COC1=CC=C(C)C=C1NC(=O)C2CN(C(=O)C2)C3=N[NH]C4=C3C=CC(=C4)Br
NCGC00424571-01,39.8107,C1COC2=C(OC1)C=C(C=C2)C3=CC=NC4=NC(=N[N]34)C5=CC=CO5
NCGC00424757-01,39.8107,FC1=CC=CC(=C1)NC(=O)N2CCC(CCNC(=O)C3=CC=CS3)CC2
NCGC00426723-01,39.8107,CN(CC1=N[NH]C(=C1)C)C(=O)CC(C2=CC=CC(=C2)O)C3=C(Cl)C=CC=C3
NCGC00427025-01,39.8107,CN(CC1=C2C=CN=CC2=CC=C1)C(=O)C3=NOC(=C3)COC4=C(F)C=C(F)C=C4
NCGC00427467-01,39.8107,FC1=CC(=CC=C1)C2=N[NH]C3=C2CN(CC3)C(=O)C4=CC=CS4
NCGC00430515-01,39.8107,OCCOC1=CC=C(C=C1)C2=C(N=C[N]2CCC3=CN=CC=C3)C4=CC=CC=C4
NCGC00431150-01,39.8107,COC1=CC=CC(=C1)N2CCN(CC2)C(=O)CCC3=CON=C3C4=CC=CC=C4
NCGC00433881-01,39.8107,CCCN1\C=C/C2=C(C1=O)C(=C(C)O2)C(=O)N3CCN(CC3)C4=CC=C(F)C=C4
NCGC00437344-01,39.8107,CN(C)C1=CC=C(C=C1)C(=O)NC2CCCN(C2)C3=CC(=N[NH]3)C4=CC=CC=C4
NCGC00439795-01,39.8107,COC1=CC=C(Cl)C=C1NC(=O)N2CC(C2)C3=NOC(=N3)C4=CC=NC=C4
NCGC00440099-01,39.8107,O=C(CC1=CC=CN=C1)N2CCC/3=C(C2)/N=C4/C=C(\NN4C3=O)C5=CC=CC=C5
NCGC00440109-01,39.8107,CC[N]1C=C(Cl)C(=N1)C(=O)N2CCC/3=C(C2)/N=C4/C=C(\NN4C3=O)C5=CC=CC=C5
NCGC00441061-01,39.8107,CCCNC(=O)N1CC(C1)OC2=CC=C(C=C2)C3=NC(=NO3)C
NCGC00442894-01,39.8107,COC(=O)CNC(=O)N1C(CC2=CC=CC=C12)C3=NC(=NO3)C4CC4
NCGC00443748-01,39.8107,CCC1=NC(=NC=C1C(O)=O)N2CCC3=C(C2)C=CC=C3
NCGC00446401-01,39.8107,COC1=CC=C(C=C1)C2=NOC(=N2)CC3CCN(CC3)C(=O)CC4=CC(=C(OC)C=C4)OC
NCGC00446561-01,39.8107,COC1=CC=CC(=C1)C2=NOC(=N2)CC3CCN(CC3)C(=O)C4=C(C)C=C(OC)C=C4
NCGC00446877-01,39.8107,CN(C)C1=CC=C(C=C1)C(=O)N2CCC3(CC2)N\C(=N/O3)C4=CC=C(C)C=C4
NCGC00450216-01,39.8107,COC1=CC(=C(OC)C=C1)NC(=O)C2=N[N]3CC(OCC3=C2)C4=CC5=C(OCO5)C=C4
NCGC00450997-01,39.8107,FC1=CC=CC=C1C(=O)N2CCCC3(C2)NC(=O)N(CC4=CC=CC(=C4)Cl)C3=O
NCGC00452229-01,39.8107,CCN1C2CCCCCN2C(=O)C3=CC=C(C=C13)C(=O)NC4=CC=CC=C4C(=O)OC
NCGC00452468-01,39.8107,CCN1C2CCCCN2C(=O)C3=CC=C(C=C13)C(=O)N4CCN(CC4)C5=CC=C(OC)C=C5
NCGC00453274-01,39.8107,CCOC1=CC=C(C=C1)C(=O)N2CCCC(C2)C3=NOC(=N3)COC4=CC=CC=C4
NCGC00456282-01,39.8107,COC1=CC=C(OCC2=NC(=NO2)C3CN(C3)C(=O)C4=C(C)C=CS4)C=C1
NCGC00469355-01,39.8107,COC1=CC=C(C=C1)N2CCN(CC2)C(=O)CCC3=CC=NC(=C3)N4CCOCC4
NCGC00471311-01,39.8107,C[N]1N=C(C(=O)N2[C@H]3CC[C@@H]2CC(C3)NC(=O)C4=CN=C(C)C=N4)C5=CC=CC=C15
NCGC00473778-01,39.8107,CCCNC(=O)CC1=CC=C(C=C1)N(CC2=CC=CC(=C2)C)C(=O)C3=CC=CO3
NCGC00473927-01,39.8107,CC(C)C(=O)N1CCC2=CC=C(OCC3=NC(=CO3)C(=O)N4CCCC4)C=C2C1C5=CC(=CC=C5)F
NCGC00473961-01,39.8107,CC(C)NC(=O)C1=COC(=N1)COC2=CC=C3CCN(C(C4=CC=CC(=C4)C)C3=C2)C(=O)C5CC5
NCGC00474070-01,39.8107,COC1=CC(=C(CN2CC3=CC(=CC=C3OC(C)C2=O)NC(=O)C4=CC=C(F)C=C4)C=C1)OC
NCGC00474109-01,39.8107,CCCC(=O)NC1=CC=C(C=C1)C2OC(=O)N(CC3=CC=C(F)C=C3)C2C(=O)NCC4=CC=CC=C4
NCGC00474637-01,39.8107,COC1=CC(=C(CNC(=O)C2=C(ON=C2C)C3=CC=CS3)C(=C1)OC)OC
NCGC00477392-01,39.8107,FC(F)(F)C1=CC=C(C=C1)C(=O)N2CCC3(C2)NC(=O)C4=CC=CC=C4O3
NCGC00478059-01,39.8107,CC(C)(C)C(=O)N1CCC2(CC1)CCN(CC3=CC=CS3)C4=CC=CC=C4O2
NCGC00480311-01,39.8107,CCC1=NC(=C2CCN(CCC2=N1)CC3=CN=CS3)C4=CC=C(O)C=C4
NCGC00480328-01,39.8107,CC(C)C1=NC(=C2CCN(CCC2=N1)CC3=CN=CS3)C4=CC=C(O)C=C4
NCGC00027933-02,44.6684,CC1=N[NH]C2=C1C(C3=CC=C(Cl)C=C3)C(=C(N)/O2)\C#N
NCGC00374450-01,44.6684,COC1=CC=C(C=C1)C2=NC(=NC3=C2CN(CC3)[S+]([O-])(=O)C4=CC=CC=C4)C5CC5
NCGC00397986-01,44.6684,COC1=CC(=CC(=C1)NC(=O)N2C[C@@H]3C[C@H](C2)\C4=C\C=C(\NC(=O)C5=CC=C(F)C=C5)C(=O)N4C3)OC
NCGC00400873-01,44.6684,CC1=CC(=CC=C1)C2=NOC(=N2)[C@@H]3CC4=C(CN3C(=O)C5=CC=C(C=C5)C6=CC=CC=C6)N=C[NH]4
NCGC00401982-01,44.6684,COC(=O)C1=CC2=C([NH]C(=N2)C[C@@H]\3C[C@@H](C(C)C)[C@H](CNC(=O)CCC(O)=O)\C=C3C)C=C1
NCGC00409783-01,44.6684,O=C(CCC1=CC=CC=C1)N2CCNC3=C(C2)N=C(NC4=CC=C(C=C4)[N]5C=CN=C5)N=C3
NCGC00410799-01,44.6684,CN(C1=CC=CC=C1)C2=N[N]3C(=NN=C3C4=NC=CC(=C4)C(=O)NCCC5=CC=CC=C5)C=C2
NCGC00410974-01,44.6684,CN(C1=CC=CC=C1)C2=N[N]3C(=NN=C3C4=NC=CC(=C4)C(=O)NCCC5=C[NH]C=N5)C=C2
NCGC00411516-01,44.6684,CC1=NOC2=C1N=C(C=C2N3CCN(CC3)CC4=CC=CC=C4)C5=CSC=C5
NCGC00411533-01,44.6684,COC1=CC=C(C=C1)C2=CC(=NC3=C2ON=C3C)C4=CC=CC=C4
NCGC00412705-01,44.6684,COC1=C(C=CC=C1)C2=C3CCOC3=C(NC4=CC=C(Cl)C=N4)N=C2
NCGC00412891-01,44.6684,COC1=CC(=CC=C1)NC(=O)C2(C)CCC3=CN=C(NCC4=CC=CC=C4)N=C23
NCGC00412952-01,44.6684,CC1(CCCC2=CN=C(NCC3=CC=CC=C3)N=C12)C(=O)NCC4CC4
NCGC00413889-01,44.6684,ClC1=CC=C(C=C1)C2=CC=C3OCC(=O)N(CC4=CC=CC=C4)CC3=N2
NCGC00413968-01,44.6684,NC(=O)C1=CC=C(C=C1)C2=NC=C3C=NC(=C[N]23)C/4=C/COCC4
NCGC00416680-01,44.6684,O=C1C=C(OC2=C(NCCC3=CC=CC=N3)N=CC=C12)C4=CC=CN=C4
NCGC00419194-01,44.6684,COC1=CC=C(C=C1OC)C2=NC3=C([NH]N=C3C4=C(C)C=CS4)N=C2
NCGC00419746-01,44.6684,COC1=CC(=CC=C1F)NC(=O)[C@@H]2CC[C@@H]3CO[C@@](C)(NC(=O)C4=CN=CC=N4)C(=O)N23
NCGC00420375-01,44.6684,CC1=N[N]2CCCN(CC3=CC=C(OCC(O)=O)C=C3)C2=C1C4=CC=CC=C4OC5=CC=CC=C5
NCGC00423305-01,44.6684,CCCCN1C(=O)C2=CC=CC=C2C(C(=O)NCCC(=O)OC)C13CCCCC3
NCGC00423383-01,44.6684,CC1=NN=C(NC(=O)C2C3=CC=CC=C3C(=O)N(CC4=CC=CC=C4)C25CCCC5)S1
NCGC00423554-01,44.6684,C[N]1C=CC=C1CNC(=O)C2C3=C(C=CC=C3)C(=O)N(C4CCCCC4)C25CCCC5
NCGC00423996-01,44.6684,COC1=CC=C(CC(=O)NC2CCCC3=C2[NH]C4=C(Cl)C=CC=C34)C=C1
NCGC00424694-01,44.6684,CC1=C(SC=C1)C(=O)NCCC2CCN(CC2)C(=O)NC3=CC=CC=C3
NCGC00424965-01,44.6684,FC1=CC(=C(NC(=O)N2CCC(CCNC(=O)C3=CSC=C3)CC2)C=C1)F
NCGC00425405-01,44.6684,CCN1C(=O)CCC2=C1C=CC(=C2)NC(=O)C3=C(C)C=C(OC)C=C3
NCGC00425545-01,44.6684,O=C(NC1=CC=C2C(=C1)N=CN=C2N3CCOCC3)C4=CC(=CC=C4)C#N
NCGC00425557-01,44.6684,CN(C)C1=CC=CC(=C1)C(=O)NC2=CC=C3C(=C2)N=CN=C3N4CCOCC4
NCGC00427390-01,44.6684,C[S+]([O-])(=O)N(CC1=CC=CN=C1)C2CN(C2)C(=O)C3=N[NH]C4=C3CCC5=C4C=CC=C5
NCGC00427622-01,44.6684,COC1=CC=C(NC(=O)NC2=CC(=CC=C2)C3=NN=C(C=C3)N4CCOCC4)C=C1F
NCGC00430176-01,44.6684,CCCNC(=O)C1=C2CCN(C(=O)NC3=CC=C(OC)C=C3)C2=CC=C1
NCGC00430182-01,44.6684,COC1=CC=C(NC(=O)N2CCC3=C(C=CC=C23)C(=O)N(C)C)C=C1
NCGC00431164-01,44.6684,CC1=CC=C(C=C1)C2=NOC=C2CCC(=O)NCC3=CC=C(Cl)C=C3
NCGC00431236-01,44.6684,FC1=C(C=CC=C1)C2=NOC=C2CCC(=O)NCC3CCCCC3
NCGC00431881-01,44.6684,COCC\1=C\C(=O)N(CC(=O)NC2=CC(=CC=C2)Cl)\C(=N1)N3CCOCC3
NCGC00431899-01,44.6684,COCC\1=C\C(=O)N(CC(=O)NC2=CC(=C(F)C=C2)Cl)\C(=N1)N3CCOCC3
NCGC00432921-01,44.6684,CC(C)(C)CC(=O)NC1=CN=C(N=C1)C2=CC(=CC=C2)Cl
NCGC00433049-01,44.6684,COC1=CC=CC(=C1)N2CCN(CC2)C(=O)C3CCCN(C3)C4=CN=C5N=CC=NC5=C4
NCGC00433579-01,44.6684,ClC1=CC=C(CC(=O)NC2CCN(C2=O)C3=CC=CC=C3)C=C1
NCGC00433599-01,44.6684,CN(CC1=NOC(=N1)C)CC2=C(C)OC(=N2)C3=CC(=CC=C3)Cl
NCGC00433600-01,44.6684,COC1=CC(=C(CC(=O)NC2CCN(C2=O)C3=CC=CC=C3)C=C1)Cl
NCGC00433608-01,44.6684,COC1=CC=CC(=C1)CC(=O)NC2CCN(C2=O)C3=CC=C(C)C=C3
NCGC00433837-01,44.6684,CCCCN(CC#CC1=CC=CC=C1)C(=O)C/2=C/C(=O)N(C)C(=O)N2C
NCGC00433873-01,44.6684,CCCN1\C=C/C2=C(C1=O)C(=C(C)O2)C(=O)NCC3=CC=CC=C3
NCGC00434057-01,44.6684,COCC1=CC(=NC=N1)NCC2=CC=CN=C2N(C)CC3=CC=CC=C3
NCGC00434894-01,44.6684,CC1=CC=C(NC(=O)C2=CC3=C(CN(C3)C4CC4)S2)C=C1
NCGC00434902-01,44.6684,O=C(NC1=CC2=C(CCC2)C=C1)C3=CC4=C(CN(C4)C5CC5)S3
NCGC00434934-01,44.6684,COC1=CC=CC(=C1)N2CCN(CC2)C(=O)C3=CC4=C(CN(C4)C5CCCC5)S3
NCGC00435968-01,44.6684,CCNC(=O)C1=N[NH]C2=C1CN(CC2)C(=O)C3=CC=CC(=C3)OC(F)(F)F
NCGC00436246-01,44.6684,COC1=CC=C(CC(=O)N2CCCN(CC2)C3=CC(=N[NH]3)C4=CC=C(F)C=C4)C=C1
NCGC00436857-01,44.6684,COC1=CC=C2C=C(CN3CCNC(=O)C3C)C(=NC2=C1)C4=CC=CS4
NCGC00437006-01,44.6684,O=C(NC1CCN(CC1)C2=CC(=N[NH]2)C3=CC=CC=C3)C4=CC=C5N=CC=CC5=C4
NCGC00437402-01,44.6684,ClC1=CC=C(C=C1)C2=N[NH]C(=C2)N3CCCC(C3)NC(=O)C4=CC=CS4
NCGC00437498-01,44.6684,CN(C)C1=CC=C(C=C1)C(=O)NC2CCCN(C2)C3=CC(=N[NH]3)C4=CC=C(F)C=C4
NCGC00437632-01,44.6684,COC1=CC=C(C=C1)C2=N[NH]C(=C2)N3CCCC(C3)NC(=O)C4=CC=NC=C4
NCGC00437906-01,44.6684,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CCN(C2)C3=CC(=N[NH]3)C4=CC=C(Cl)C=C4
NCGC00437922-01,44.6684,ClC1=CC=C(C=C1)C2=N[NH]C(=C2)N3CCC(C3)NC(=O)C4=CC=NC=C4
NCGC00438186-01,44.6684,COC1=CC=C(C=C1)C(=O)NC2CCN(C2)C3=CC(=N[NH]3)C4=CC=C(OC)C=C4
NCGC00440115-01,44.6684,CCOC(=O)CCNC(=O)N1CCC/2=C(C1)/N=C3/C=C(\NN3C2=O)C4=CC=CC=C4
NCGC00440195-01,44.6684,FC(F)(F)C1=C(C=CC=C1)C(=O)N2CCC/3=C(C2)/C(=O)N4N/C=C\C4=N3
NCGC00441090-01,44.6684,COC(=O)C1=CC=CC(=C1)OCC[N]2C=CN=C2C3=C(C)N=C[NH]3
NCGC00441217-01,44.6684,CC1=NOC(=N1)C2=CC=CC(=C2)OC3CN(C3)C(=O)NC4=CC(=CC=C4)F
NCGC00441630-01,44.6684,FC1=CC=CC=C1CC(=O)N2CCC(C2)C3=NOC(=N3)C4=CC=CN=C4
NCGC00441844-01,44.6684,O=C(N1CCC(C1)C2=NOC(=N2)C3=CC=CC=N3)C4=N[NH]C5=C4CCC6=C5C=CC=C6
NCGC00442108-01,44.6684,CCCN(CC1CCOC1)C(=O)NC2=CC=C(C)C(=C2)Cl
NCGC00443935-01,44.6684,CNC1=NC(=CS1)C(=O)N2CCC3=C(C2)N=C([NH]3)C4=CC=CC=C4
NCGC00445252-01,44.6684,O=C(C[N]1C=CC=C1C2=NC(=NO2)C3=CC4=C(OCO4)C=C3)N5CCCC6=CC=CC=C56
NCGC00445921-01,44.6684,FC1=CC=CC(=C1)CC(=O)N2CCC[C@H]2C3=NC(=NO3)C4=C(Cl)C=CC=C4
NCGC00446209-01,44.6684,COC1=C(OC)C=C(C=C1)C2=NOC(=N2)[C@@H]3CCCN3C(=O)C4=CC=C(F)C=C4
NCGC00446541-01,44.6684,COC1=CC=CC(=C1)C2=NOC(=N2)CC3CCN(CC3)C(=O)C4=CC(=C(OC)C=C4)OC
NCGC00447061-01,44.6684,ClC1=CC=C(C=C1)C/2=N/OC3(CCN(CC3)C(=O)CC4=CC=CS4)N2
NCGC00447945-01,44.6684,COC1=CC=C(C=C1)N2CC(CC2=O)C3=NOC(=N3)C4=CC(=CC(=C4)OC)OC
NCGC00447961-01,44.6684,COC1=CC=C(C=C1)N2CC(CC2=O)C3=NOC(=N3)C4=CC(=CC(=C4)C)C
NCGC00448317-01,44.6684,FC1=CC=C(C=C1)C(=O)NC2=CC(=CC=C2)C3=NN=C4CCCC[N]34
NCGC00448409-01,44.6684,COC1=C(OC)C=C(NC(=O)COC2=CC=C(C=C2)C3=NN=C4CCCC[N]34)C=C1
NCGC00448439-01,44.6684,COC1=CC(=CC=C1)NC(=O)COC2=CC(=CC=C2)C3=NN=C4CCCC[N]34
NCGC00450214-01,44.6684,COC1=CC=C(NC(=O)C2=N[N]3CC(OCC3=C2)C4=CC5=C(OCO5)C=C4)C=C1
NCGC00450408-01,44.6684,CC1=CC(=C(NC(=O)CCN2\C=C/[N]3N=C4CCCCC4=C3C2=O)C=C1)C
NCGC00450434-01,44.6684,FC1=CC(=C(NC(=O)CCN2\C=C/[N]3N=C4CCCCC4=C3C2=O)C=C1)Cl
NCGC00450719-01,44.6684,CCC1=NC(=NO1)C/2=C/3CCCCCN3C(=O)N(CC4=C(C)C=CC=C4)C2=O
NCGC00450982-01,44.6684,CC1=CC=C(CN2C(=O)NC3(CCCN(C3)C(=O)C4=CC=CC=C4F)C2=O)C=C1
NCGC00451120-01,44.6684,COC1=CC=CC(=C1)CC(=O)N2CCC(CC2)C/3=N/NC(=O)N3CC4=CC=C(F)C=C4
NCGC00452389-01,44.6684,CN1C2CCCCN2C(=O)C3=CC=C(C=C13)C(=O)NC4=CC=C(C=C4)C#N
NCGC00452576-01,44.6684,COC1=CC=C(NC(=O)N2CCC(C2)CC(=O)NCC3=CC=CC=C3)C=C1OC
NCGC00453267-01,44.6684,COC1=CC=C(C=C1)C(=O)N2CCCC(C2)C3=NOC(=N3)COC4=CC=CC=C4
NCGC00453276-01,44.6684,COC1=CC=CC(=C1)C(=O)N2CCCC(C2)C3=NOC(=N3)COC4=CC=CC=C4
NCGC00454228-01,44.6684,CC(CNC(=O)C1=C2[N](\C=C(C)/NC2=O)N=N1)C3=CC=CC=C3
NCGC00454482-01,44.6684,CCC1=CC(=CC=C1)NC(=O)C2=CC(=N[NH]2)C3=CC=C[NH]3
NCGC00454499-01,44.6684,CC1=C(NC(=O)C2=CC(=N[NH]2)C3=CC=C[NH]3)C=CC(=C1)F
NCGC00455738-01,44.6684,COCCC1=NOC(=N1)C2=C(OC3CN(C3)C(=O)C4=NC=CN=C4)C=CC=C2
NCGC00455739-01,44.6684,COCCC1=NOC(=N1)C2=C(OC3CN(C3)C(=O)C4=CC=C(C)N=C4)C=CC=C2
NCGC00456884-01,44.6684,CC(=O)NC1=CC=CC(=C1)C(=O)NCCN2\C=C/[N]3N=C(C=C3C2=O)C4=CC=C(F)C=C4
NCGC00457011-01,44.6684,CC1=CC=C(C)C(=C1)C2=N[N]3\C=C/N(CCNC(=O)C4=CC=CC=C4)C(=O)C3=C2
NCGC00465035-01,44.6684,FC1=CC=CC(=C1)CC(=O)N2CCCCCCNC(=O)[C@@H]3CCC[C@H]23
NCGC00465130-01,44.6684,COC1=NC(=C(C=C1)C(=O)N2CCCCCCN(C)C(=O)[C@@H]3CCC[C@H]23)OC
NCGC00466442-01,44.6684,COCCN1CCCCCC(O)C2=CC(=CC=C12)C(=O)N3CCC4=C3C=CC=C4
NCGC00469880-01,44.6684,COC1=NC(=C(C=C1)C(=O)NC2CCN(CC2)C/3=C/C(=O)N(C)/N=C3)OC
NCGC00470019-01,44.6684,COC1=C(OC)C=C(C=C1)C(=O)NC2CCN(CC2)C\3=C\C(=O)N(CC4CC4)\N=C3
NCGC00470101-01,44.6684,ClC1=CC=C(S1)C(=O)NC2CCN(CC2)C3=NN=C4C=CC=C[N]34
NCGC00470271-01,44.6684,CCNC1=CC(=NC=N1)N2CCC(CC2)CCC(=O)NCC3=CC=C(OC)C=C3
NCGC00470831-01,44.6684,CN1CCCN(C(=O)NCC2=CC=C(C)C=C2)C3=CC=CC=C13
NCGC00471331-01,44.6684,CC1=NC=C(N=C1)C(=O)NC2C[C@@H]3CC[C@H](C2)N3C(=O)NC4=CC=CC(=C4)C(F)(F)F
NCGC00471511-01,44.6684,COC1=CC(=CC=C1)CNC(=O)N2C(CC3=CC=CC=C23)C4=NOC(=N4)C5CCOCC5
NCGC00473642-01,44.6684,CCOC1=CC=C(NC(=O)N2CCC3=CC(=C(OC)C=C3C2CNC(=O)NC(C)(C)C)OC)C=C1
NCGC00473685-01,44.6684,CC1=CC(=CC=C1)CN(C(=O)C2=CC=CO2)C3=CC=C(CC(=O)NCC4CCCO4)C=C3
NCGC00473758-01,44.6684,COC1=C(OC)C=C2C(CNC(=O)C3CC3)N(CCC2=C1)C(=O)NC4=CC=CC=C4
NCGC00473783-01,44.6684,CC(C)NC(=O)CC1=CC=C(C=C1)N(CC2=CC=CC(=C2)C)C(=O)C3=CC=CO3
NCGC00474201-01,44.6684,COC1=CC(=CC(=C1OC)OC)C2=C(C(=NO2)C)C(=O)N(C)CC3=CC=CC=C3
NCGC00474473-01,44.6684,CC1=N[N](C2=CC=CC=C2)C(=C1CCC(=O)NCC3CCCO3)OC4=CC=CC=C4
NCGC00474727-01,44.6684,CCC(C)NC(=O)CC/1=C/SC/2=N/C(=C(\C(=O)N12)C3=N[N](C(=C3)C)C4=CC=C(C)C=C4C)C
NCGC00475032-01,44.6684,COC1=CC=C(CCN2CC3=CC(=CC=C3OCC2=O)NC(=O)CC4=CC=CS4)C=C1
NCGC00475053-01,44.6684,CC1=N[N](C2=CC=CC=C2)C(=C1CCC(=O)NCC3=CC=CO3)OC4=C(F)C=CC=C4
NCGC00475637-01,44.6684,COCCN1C(CNC(=O)C2=N[NH]C3=C2COC4=C3C=CC=C4)C[N]5C=CC=C5C1=O
NCGC00479691-01,44.6684,[O-][S+]1(=O)NC2(CCCN(C2)C(=O)C3=CC=C(F)C=C3)CNC4=CC=CC=C14
NCGC00374440-01,50.1187,COC1=CC=C(C=C1)C(=O)N2CCC3=C(C2)C(=NC(=N3)C4CC4)C5=CC=C(OC)C=C5
NCGC00374518-01,50.1187,CCC1=NC(=C2CCN(CCC2=N1)C(=O)C3=CC=C(C)C=C3)C4=CC=C(OC)C=C4
NCGC00374577-01,50.1187,COC1=CC=CC=C1C2=NC3=C(C=N[N]3C)C(=C2)C(=O)NC(C)C
NCGC00375202-01,50.1187,COC1=C(C=CC=C1)C2=CC(=N[N]3C=CC=C23)C(=O)NCC#C
NCGC00377034-01,50.1187,OC1=CC=C(C(=C1)CN2CCC3(C2)CC4=CC=CC=C4CNC3=O)[N+]([O-])=O
NCGC00377242-01,50.1187,FC1=CC2=C(C=C1)/N=C(NC2=O)/C3CCN(CC3)CC4=CC=C(C=C4)C5=CC=CN=C5
NCGC00391551-01,50.1187,CN1C[C@H](C[C@H]1C2=NC(=NO2)C3=CC=C4C=CC=CC4=C3)NC(=O)CC(C)(C)CC(O)=O
NCGC00391577-01,50.1187,COC1=NC2=C(C=C1)N=C(C[C@@H]\3C[C@@H](C(C)C)[C@H](CN(CC4=NC=CC=C4)CC5=NC=CC=C5)\C=C3C)[NH]2
